1 	 5.262024 
2 	 10.51687 
3 	 15.82397 
4 	 21.07662 
5 	 26.35128 
6 	 31.61752 
7 	 36.88684 
8 	 42.13031 
9 	 47.38367 
10 	 52.59957 
11 	 57.70631 
12 	 1.047164 
13 	 1.132363 
14 	 1.217365 
15 	 1.303025 
16 	 1.388284 
17 	 1.464536 
18 	 1.54059 
19 	 1.616718 
20 	 1.69322 
21 	 1.769249 
22 	 1.845148 
23 	 1.921743 
24 	 1.998236 
25 	 2.075345 
26 	 2.153473 
27 	 2.231737 
28 	 2.310229 
29 	 2.38896 
30 	 2.467218 
31 	 2.545709 
32 	 2.624143 
33 	 2.713142 
34 	 2.812779 
35 	 2.909158 
36 	 3.005143 
37 	 3.099896 
38 	 3.194112 
39 	 3.290716 
40 	 3.387665 
41 	 3.484576 
42 	 3.583102 
43 	 3.677355 
44 	 3.774866 
45 	 3.872183 
46 	 3.970481 
47 	 4.068298 
48 	 4.166142 
49 	 4.250637 
50 	 4.33529 
51 	 4.433129 
52 	 4.536939 
53 	 4.641503 
54 	 4.729818 
55 	 4.811417 
56 	 4.893522 
57 	 4.974993 
58 	 5.056922 
59 	 5.138648 
60 	 5.220825 
61 	 5.302992 
62 	 5.385788 
63 	 5.471361 
64 	 5.555495 
65 	 5.649099 
66 	 5.742462 
67 	 5.834429 
68 	 5.925859 
69 	 6.017308 
70 	 6.109605 
71 	 6.20185 
72 	 6.296656 
73 	 6.389263 
74 	 6.481105 
75 	 6.574541 
76 	 6.66918 
77 	 6.763068 
78 	 6.856754 
79 	 6.950494 
80 	 7.043497 
81 	 7.126688 
82 	 7.207128 
83 	 7.288008 
84 	 7.367798 
85 	 7.447465 
86 	 7.527355 
87 	 7.607314 
88 	 7.687428 
89 	 7.767564 
90 	 7.847191 
91 	 7.926939 
92 	 8.006564 
93 	 8.086202 
94 	 8.165474 
95 	 8.244597 
96 	 8.324295 
97 	 8.414807 
98 	 8.506373 
99 	 8.597609 
100 	 8.688922 
101 	 8.780415 
102 	 8.871814 
103 	 8.96328 
104 	 9.053783 
105 	 9.145391 
106 	 9.236258 
107 	 9.328008 
108 	 9.418888 
109 	 9.510257 
110 	 9.60193 
111 	 9.693119 
112 	 9.784141 
113 	 9.86396 
114 	 9.943941 
115 	 10.02337 
116 	 10.10306 
117 	 10.18289 
118 	 10.26272 
119 	 10.34189 
120 	 10.42169 
121 	 10.5019 
122 	 10.58101 
123 	 10.66081 
124 	 10.74063 
125 	 10.82072 
126 	 10.90019 
127 	 10.97985 
128 	 11.05978 
11.0598 
