1 	 0.038 	 	 2.506292 
2 	 0.045 	 	 4.971517 
3 	 0.071 	 	 7.431506 
4 	 0.062 	 	 9.905962 
5 	 0.045 	 	 12.41234 
6 	 0.047 	 	 14.86222 
7 	 0.036 	 	 17.29147 
8 	 0.052 	 	 19.74043 
9 	 0.05 	 	 22.14919 
10 	 0.044 	 	 24.54742 
11 	 0.047 	 	 26.93708 
12 	 0.049 	 	 29.34551 
13 	 0.063 	 	 31.73141 
14 	 0.047 	 	 34.12978 
15 	 0.048 	 	 36.50126 
16 	 0.051 	 	 38.87585 
17 	 0.053 	 	 41.24778 
18 	 0.048 	 	 43.62105 
19 	 0.06 	 	 45.99747 
20 	 0.049 	 	 48.38166 
21 	 0.041 	 	 50.75846 
22 	 0.053 	 	 53.06751 
23 	 0.048 	 	 55.39006 
24 	 0.054 	 	 57.70829 
25 	 0.05 	 	 1.000166 
26 	 0.034 	 	 1.038686 
27 	 0.044 	 	 1.077046 
28 	 0.049 	 	 1.115505 
29 	 0.086 	 	 1.154112 
30 	 0.063 	 	 1.19245 
31 	 0.083 	 	 1.231053 
32 	 0.062 	 	 1.268817 
33 	 0.071 	 	 1.306745 
34 	 0.053 	 	 1.344754 
35 	 0.069 	 	 1.382561 
36 	 0.08 	 	 1.417243 
37 	 0.055 	 	 1.451823 
38 	 0.071 	 	 1.486466 
39 	 0.066 	 	 1.521066 
40 	 0.085 	 	 1.555548 
41 	 0.067 	 	 1.590087 
42 	 0.076 	 	 1.624731 
43 	 0.041 	 	 1.666763 
44 	 0.032 	 	 1.708754 
45 	 0.046 	 	 1.750779 
46 	 0.058 	 	 1.792468 
47 	 0.055 	 	 1.834483 
48 	 0.05 	 	 1.876937 
49 	 0.051 	 	 1.919286 
50 	 0.045 	 	 1.961234 
51 	 0.049 	 	 2.003288 
52 	 0.043 	 	 2.04521 
53 	 0.06 	 	 2.08727 
54 	 0.059 	 	 2.129153 
55 	 0.042 	 	 2.171141 
56 	 0.054 	 	 2.213634 
57 	 0.052 	 	 2.256754 
58 	 0.058 	 	 2.298967 
59 	 0.044 	 	 2.341307 
60 	 0.057 	 	 2.38336 
61 	 0.052 	 	 2.426695 
62 	 0.045 	 	 2.468928 
63 	 0.05 	 	 2.510956 
64 	 0.044 	 	 2.552832 
65 	 0.04 	 	 2.595102 
66 	 0.053 	 	 2.637528 
67 	 0.05 	 	 2.679807 
68 	 0.046 	 	 2.721942 
69 	 0.046 	 	 2.763907 
70 	 0.063 	 	 2.806925 
71 	 0.091 	 	 2.849329 
72 	 0.087 	 	 2.891749 
73 	 0.09 	 	 2.938736 
74 	 0.075 	 	 2.983132 
75 	 0.074 	 	 3.027977 
76 	 0.075 	 	 3.07271 
77 	 0.059 	 	 3.117258 
78 	 0.099 	 	 3.159141 
79 	 0.067 	 	 3.200875 
80 	 0.075 	 	 3.243356 
81 	 0.081 	 	 3.285041 
82 	 0.087 	 	 3.327205 
83 	 0.062 	 	 3.36964 
84 	 0.075 	 	 3.411899 
85 	 0.048 	 	 3.45418 
86 	 0.049 	 	 3.495776 
87 	 0.059 	 	 3.535819 
88 	 0.06 	 	 3.576305 
89 	 0.046 	 	 3.617862 
90 	 0.058 	 	 3.662293 
91 	 0.063 	 	 3.705082 
92 	 0.046 	 	 3.747581 
93 	 0.059 	 	 3.790881 
94 	 0.062 	 	 3.832082 
95 	 0.055 	 	 3.874675 
96 	 0.048 	 	 3.916194 
97 	 0.049 	 	 3.957791 
98 	 0.045 	 	 4.003599 
99 	 0.049 	 	 4.043822 
100 	 0.054 	 	 4.081899 
101 	 0.053 	 	 4.120675 
102 	 0.046 	 	 4.159264 
103 	 0.045 	 	 4.197885 
104 	 0.038 	 	 4.236598 
105 	 0.055 	 	 4.275183 
106 	 0.049 	 	 4.312564 
107 	 0.047 	 	 4.349925 
108 	 0.049 	 	 4.387423 
109 	 0.05 	 	 4.424779 
