1 	 0.056 	 0.067 	 4.448421 
2 	 0.044 	 0.054 	 9.163295 
3 	 0.052 	 0.056 	 13.90248 
4 	 0.039 	 0.053 	 18.52427 
5 	 0.058 	 0.059 	 23.20762 
6 	 0.055 	 0.064 	 27.85373 
7 	 0.075 	 0.061 	 32.4849 
8 	 0.056 	 0.051 	 36.84213 
9 	 0.053 	 0.058 	 41.20029 
10 	 0.058 	 0.057 	 45.45828 
11 	 0.066 	 0.061 	 49.72048 
12 	 0.065 	 0.051 	 54.00047 
13 	 0.07 	 0.05 	 58.25975 
14 	 0.057 	 0.059 	 1.04195 
15 	 0.061 	 0.064 	 1.12221 
16 	 0.053 	 0.051 	 1.202655 
17 	 0.065 	 0.052 	 1.285724 
18 	 0.068 	 0.053 	 1.368304 
19 	 0.057 	 0.057 	 1.451159 
20 	 0.046 	 0.051 	 1.534541 
21 	 0.042 	 0.043 	 1.618186 
22 	 0.054 	 0.048 	 1.700321 
23 	 0.064 	 0.056 	 1.783708 
24 	 0.046 	 0.04 	 1.868347 
25 	 0.057 	 0.058 	 1.954675 
26 	 0.056 	 0.05 	 2.038706 
27 	 0.049 	 0.06 	 2.122713 
28 	 0.054 	 0.053 	 2.207068 
29 	 0.042 	 0.046 	 2.289924 
30 	 0.048 	 0.057 	 2.370248 
31 	 0.038 	 0.045 	 2.451251 
32 	 0.042 	 0.047 	 2.528659 
33 	 0.054 	 0.041 	 2.60576 
34 	 0.048 	 0.046 	 2.680449 
35 	 0.051 	 0.045 	 2.754789 
36 	 0.064 	 0.056 	 2.825583 
37 	 0.039 	 0.045 	 2.896567 
38 	 0.056 	 0.045 	 2.96785 
39 	 0.047 	 0.043 	 3.041028 
40 	 0.039 	 0.058 	 3.11514 
41 	 0.049 	 0.049 	 3.192406 
42 	 0.033 	 0.046 	 3.270172 
43 	 0.046 	 0.043 	 3.353895 
44 	 0.047 	 0.044 	 3.438771 
45 	 0.055 	 0.037 	 3.524787 
46 	 0.042 	 0.052 	 3.610577 
