Dataset x;Dataset y;Dataset2 x;Dataset2 y
2,042585841207E1;2,611140210194E1;1,050646939995E1;3,089118724424E1
2,081960241197E1;2,585378424407E1;1,065152935073E1;3,046116762733E1
2,121343300612E1;2,546596576416E1;1,067599268893E1;2,995845421803E1
2,169489696905E1;2,481836457044E1;1,082186489898E1;2,830714476053E1
2,208846778049E1;2,482114795666E1;1,082229491860E1;2,766057955081E1
2,239466500584E1;2,469311219056E1;1,113597033916E1;2,766279790597E1
2,243848169023E1;2,456322083365E1;1,111246260010E1;2,672869973812E1
2,243848169023E1;2,456322083365E1;1,152255797477E1;2,687528182182E1
2,274502529254E1;2,391438257938E1;1,181210451683E1;2,687732953428E1
2,322657584971E1;2,313658076361E1;1,181253453644E1;2,623076432456E1
2,383923008313E1;2,248990736530E1;1,222320327060E1;2,551525946197E1
2,410204359527E1;2,184075984589E1;1,251279759261E1;2,544546659557E1
2,458394052940E1;2,054215554195E1;1,251313205232E1;2,494258254357E1
2,497794431202E1;1,989393581795E1;1,306819181784E1;2,480282616807E1
2,554660867256E1;1,963755502063E1;1,345430165387E1;2,473371587249E1
2,585297908639E1;1,924911801044E1;1,345497057328E1;2,372794776848E1
2,620299299614E1;1,899119088744E1;1,350375390982E1;2,293804268646E1
2,664046708620E1;1,873388229471E1;1,386568708739E1;2,294060232704E1
2,712149807795E1;1,873728421120E1;1,403473257679E1;2,272627508940E1
2,799592669265E1;1,900387075800E1;1,415566364906E1;2,229608482978E1
2,939537617198E1;1,888356662029E1;1,456604570347E1;2,201162344033E1
3,061964550795E1;1,915262728817E1;1,459070016151E1;2,122154771560E1
3,118865624545E1;1,837544400267E1;1,485611782506E1;2,122342478536E1
3,171341732736E1;1,837915518430E1;1,526678655922E1;2,050791992277E1
3,241309876990E1;1,838410342647E1;1,545981758726E1;2,050928506441E1
3,315651030260E1;1,838936093377E1;1,546039094674E1;1,964719811811E1
3,376873156483E1;1,839369064567E1;1,579852970551E1;1,914670306398E1
3,390035480649E1;1,774361533086E1;1,606394736907E1;1,914858013374E1
3,429392561792E1;1,774639871708E1;1,642588054664E1;1,915113977431E1
